"","Single-ended 1 Last (mbar)"
"1451","14.483"
"1452","14.460"
"1453","14.484"
"1454","14.539"
"1455","14.466"
"1456","14.461"
"1457","14.462"
"1458","14.527"
"1459","14.490"
"1460","14.459"
"1461","14.458"
"1462","14.459"
"1463","14.538"
"1464","14.462"
"1465","14.458"
"1466","14.467"
"1467","14.573"
"1468","14.471"
"1469","14.465"
"1470","14.529"
"1471","14.534"
"1472","14.448"
"1473","14.443"
"1474","14.454"
"1475","14.511"
"1476","14.445"
"1477","14.446"
"1478","14.482"
"1479","14.464"
"1480","14.440"
"1481","14.456"
"1482","14.518"
"1483","14.447"
"1484","14.439"
"1485","14.443"
"1486","14.466"
"1487","14.491"
"1488","14.475"
"1489","14.437"
"1490","14.438"
"1491","14.476"
"1492","14.508"
"1493","14.441"
"1494","14.437"
"1495","14.437"
"1496","14.441"
"1497","14.454"
"1498","14.502"
"1499","14.441"
"1500","14.441"
"1501","14.442"
"1502","14.449"
"1503","14.506"
"1504","14.449"
"1505","14.440"
"1506","14.441"
"1507","14.475"
"1508","14.510"
"1509","14.440"
"1510","14.439"
"1511","14.487"
"1512","14.484"
"1513","14.440"
"1514","14.440"
"1515","14.523"
"1516","14.465"
"1517","14.439"
"1518","14.439"
"1519","14.459"
"1520","14.528"
"1521","14.525"
"1522","14.443"
"1523","14.437"
"1524","14.441"
"1525","14.529"
"1526","14.446"
"1527","14.435"
"1528","14.484"
"1529","14.477"
"1530","14.435"
"1531","14.446"
"1532","14.545"
"1533","14.457"
"1534","14.436"
"1535","14.437"
"1536","14.438"
"1537","14.448"
"1538","14.510"
"1539","14.434"
"1540","14.429"
"1541","14.430"
"1542","14.506"
"1543","14.446"
"1544","14.435"
"1545","14.435"
"1546","14.432"
"1547","14.471"
"1548","14.454"
"1549","14.433"
"1550","14.432"
"1551","14.462"
"1552","14.494"
"1553","14.437"
"1554","14.432"
"1555","14.435"
"1556","14.501"
"1557","14.434"
"1558","14.434"
"1559","14.434"
"1560","14.435"
"1561","14.520"
"1562","14.438"
"1563","14.433"
"1564","14.443"
"1565","14.490"
"1566","14.512"
"1567","14.433"
"1568","14.431"
"1569","14.478"
"1570","14.443"
"1571","14.430"
"1572","14.455"
"1573","14.455"
"1574","14.429"
"1575","14.433"
"1576","14.482"
"1577","14.434"
"1578","14.436"
"1579","14.483"
"1580","14.437"
"1581","14.425"
"1582","14.476"
"1583","14.515"
"1584","14.435"
"1585","14.428"
"1586","14.448"
"1587","14.449"
"1588","14.429"
"1589","14.476"
"1590","14.441"
"1591","14.430"
"1592","14.436"
"1593","14.501"
"1594","14.443"
"1595","14.432"
"1596","14.432"
"1597","14.431"
"1598","14.444"
"1599","14.507"
"1600","14.487"
"1601","14.470"
"1602","14.432"
"1603","14.427"
"1604","14.439"
"1605","14.489"
"1606","14.429"
"1607","14.430"
"1608","14.465"
"1609","14.460"
"1610","14.427"
"1611","14.430"
"1612","14.505"
"1613","14.462"
"1614","14.429"
"1615","14.427"
"1616","14.439"
"1617","14.495"
"1618","14.498"
"1619","14.441"
"1620","14.426"
"1621","14.431"
"1622","14.430"
"1623","14.473"
"1624","14.503"
"1625","14.428"
"1626","14.421"
"1627","14.424"
"1628","14.456"
"1629","14.500"
"1630","14.428"
"1631","14.422"
"1632","14.426"
"1633","14.435"
"1634","14.512"
"1635","14.511"
"1636","14.427"
"1637","14.424"
"1638","14.427"
"1639","14.433"
"1640","14.426"
"1641","14.426"
"1642","14.424"
"1643","14.494"
"1644","14.479"
"1645","14.429"
"1646","14.422"
"1647","14.454"
"1648","14.492"
"1649","14.435"
"1650","14.424"
"1651","14.434"
"1652","14.498"
"1653","14.438"
